NO,目的派生検索,,NTL,名声,Pt,総名声,総Pt,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1016,アオヤギ,││　│├アオヤギ,0,110,"66,000",317,"148,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,アマネセル,││　││├アマネセル,0,50,"90,000",367,"238,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アマネセル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,アストラーザ,││　││├アストラーザ,0,30,"31,500",347,"180,420",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アストラーザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3668,ガーベラ,││　│││└ガーベラ,0,60,"120,000",407,"300,420",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アストラーザ,ガーベラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708,バルトーク,││　││└バルトーク,0,90,"60,000",407,"208,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,バルトーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,超大型輸送機,││　│├超大型輸送機,0,100,"25,200",307,"108,120",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,超大型輸送機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,グリーツ艦,││　│└グリーツ艦,0,1,"60,000",208,"142,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,グリーツ艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,コロンブス改,││　└コロンブス改,0,1,"6,000",58,"28,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,コロンブス改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7107,シャークマウス仕様ボール,│├シャークマウス仕様ボール,0,15,"3,180",17,"9,000",―,ボール,ボールK型,シャークマウス仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,ドズル・ザビ専用ボール,│├ドズル・ザビ専用ボール,0,20,"1,950",22,"7,770",―,ボール,ボールK型,ドズル・ザビ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7175,ロウ専用キメラ,│├ロウ専用キメラ,0,1,"5,280",3,"11,100",―,ボール,ボールK型,ロウ専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,ランバ・ラル専用ボール,│├ランバ・ラル専用ボール,0,20,"1,800",22,"7,620",―,ボール,ボールK型,ランバ・ラル専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7177,リーアム専用キメラ,│├リーアム専用キメラ,0,1,"5,280",3,"11,100",―,ボール,ボールK型,リーアム専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,フィッシュアイ,│├フィッシュアイ,0,5,360,7,"6,180",―,ボール,ボールK型,フィッシュアイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7178,樹里専用キメラ,│├樹里専用キメラ,0,1,"5,280",3,"11,100",―,ボール,ボールK型,樹里専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7056,ボール・ボーイ,│├ボール・ボーイ,0,10,"6,510",12,"12,330",―,ボール,ボールK型,ボール・ボーイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8571,ソロモン攻略戦仕様ボール,│└ソロモン攻略戦仕様ボール,0,1,"2,910",3,"8,730",―,ボール,ボールK型,ソロモン攻略戦仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,ランバ・ラル専用ボール,├ランバ・ラル専用ボール,0,20,"1,800",21,"4,710",―,ボール,ランバ・ラル専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,ポリポッドボール,├ポリポッドボール,0,10,"1,650",11,"4,560",―,ボール,ポリポッドボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,133式ボール,├133式ボール,0,5,354,6,"3,264",―,ボール,133式ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,61式戦車,├61式戦車,0,1,"5,130",2,"8,040",―,ボール,61式戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,キャリアビーグル,│├キャリアビーグル,0,15,"3,480",17,"11,520",―,ボール,61式戦車,キャリアビーグル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,リニアガン・タンク,│├リニアガン・タンク,0,1,"2,730",3,"10,770",―,ボール,61式戦車,リニアガン・タンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,ボナパルト,│├ボナパルト,0,5,"5,400",7,"13,440",―,ボール,61式戦車,ボナパルト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247,ヴィーザフ,│├ヴィーザフ,0,15,"6,000",17,"14,040",―,ボール,61式戦車,ヴィーザフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,ビックトレー,│├ビックトレー,0,40,"55,530",42,"63,570",―,ボール,61式戦車,ビックトレー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,ライノサラスA型,││├ライノサラスA型,0,100,"45,750",142,"109,320",―,ボール,61式戦車,ビックトレー,ライノサラスA型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,ライノサラスB型,│││└ライノサラスB型,0,10,"22,950",152,"132,270",―,ボール,61式戦車,ビックトレー,ライノサラスA型,ライノサラスB型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,ヘヴィ・フォーク,││└ヘヴィ・フォーク,0,1,"19,500",43,"83,070",―,ボール,61式戦車,ビックトレー,ヘヴィ・フォーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4379,サルバーS-VI型,│├サルバーS-VI型,0,1,330,3,"8,370",―,ボール,61式戦車,サルバーS-VI型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,MSトレーラー,│├MSトレーラー,0,1,360,3,"8,400",―,ボール,61式戦車,MSトレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,ガンダム積載MSトレーラー,││├ガンダム積載MSトレーラー,0,30,"3,450",33,"11,850",―,ボール,61式戦車,MSトレーラー,ガンダム積載MSトレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,サムソントレーラー,││├サムソントレーラー,0,1,585,4,"8,985",―,ボール,61式戦車,MSトレーラー,サムソントレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,ザク・タンカー,│││└ザク・タンカー,0,1,"24,000",5,"32,985",―,ボール,61式戦車,MSトレーラー,サムソントレーラー,ザク・タンカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,カミオン,││└カミオン,0,20,"6,000",23,"14,400",―,ボール,61式戦車,MSトレーラー,カミオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5222,FAG轟雷,│├FAG轟雷,0,150,"150,000",152,"158,040",―,ボール,61式戦車,FAG轟雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6879,三二式一型・轟雷,││├三二式一型・轟雷,0,20,"12,030",172,"170,070",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8045,三八式一型・榴雷改,│││├三八式一型・榴雷改,0,140,"13,030",312,"183,100",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三八式一型・榴雷改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8043,三二式伍型・漸雷,│││├三二式伍型・漸雷,0,70,"13,030",242,"183,100",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三二式伍型・漸雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8044,三二式伍型丙・漸雷強襲装備型,││││└三二式伍型丙・漸雷強襲装備型,0,70,"13,030",312,"196,130",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三二式伍型・漸雷,三二式伍型丙・漸雷強襲装備型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6921,輝鎚・甲,│││└輝鎚・甲,0,50,"12,060",222,"182,130",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8028,白兵戦仕様輝鎚・乙,│││　├白兵戦仕様輝鎚・乙,0,70,"13,260",292,"195,390",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,白兵戦仕様輝鎚・乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8029,狙撃仕様輝鎚・乙,│││　└狙撃仕様輝鎚・乙,0,70,"13,260",292,"195,390",―,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,狙撃仕様輝鎚・乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5223,FAGスティレット,││└FAGスティレット,0,5,"150,000",157,"308,040",―,ボール,61式戦車,FAG轟雷,FAGスティレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5224,FAG迅雷,││　├FAG迅雷,0,5,"150,000",162,"458,040",―,ボール,61式戦車,FAG轟雷,FAGスティレット,FAG迅雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6878,スティレット,││　├スティレット,0,50,"12,060",207,"320,100",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942,バーゼラルド,││　│├バーゼラルド,0,50,"12,960",257,"333,060",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8025,ゼルフィカールNE,││　││├ゼルフィカールNE,0,70,"13,960",257,"333,060",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,ゼルフィカール/NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,カトラス,││　││└カトラス,0,50,"13,650",307,"346,710",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,ジィダオ,││　││　└ジィダオ,0,50,"14,250",357,"360,960",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8136,EA仕様ジィダオ,││　││　　├EA仕様ジィダオ,0,90,"14,250",447,"375,210",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,EA仕様ジィダオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,レイダオ,││　││　　└レイダオ,0,50,"14,250",407,"375,210",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,レイダオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8135,ジェンタオ,││　││　　　└ジェンタオ,0,90,"16,250",497,"391,460",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,レイダオ,ジェンタオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,ウィルバーナイン,││　│├ウィルバーナイン,0,50,"12,930",257,"333,030",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,ウィルバーナイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8098,セカンドジャイヴ,││　││└セカンドジャイヴ,0,50,"12,930",307,"345,960",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,ウィルバーナイン,セカンドジャイヴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6896,グライフェン,││　│├グライフェン,0,50,"12,330",257,"332,430",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,グライフェン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6880,レヴァナントアイ,││　│├レヴァナントアイ,0,20,"12,030",227,"332,130",―,ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,レヴァナントアイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
