No,機体名,HP,装甲,運動,索敵,EN,重量,直感,操縦,近,中,遠,NT,コスト,名声,POINT,地上,水中,宇宙,空中,種類1,種類1',種類2,種類2',種類3,種類3',種類4,種類4',種類5,種類5',種類6,種類6',|,特殊能力1,特殊能力2,特殊能力3,特殊能力4,特殊能力5,特殊能力6,特殊能力7,特殊能力8,特殊能力9,①派生元,①隠し武装,①属性,①威力,①弾数,①EN,"①射程
from","①射程
to",①HIT,①特殊効果,②派生元,②隠し武装,②属性,②威力,②弾数,②EN,"②射程
from","②射程
to",②HIT,②特殊効果,③派生元,③隠し武装,③属性,③威力,③弾数,③EN,"③射程
from","③射程
to",③HIT,③特殊効果,④派生元,④隠し武装,④属性,④威力,④弾数,④EN,"④射程
from","④射程
to",④HIT,④特殊効果,,,,,,,,,,
10,ザクIIF型,275,21,43,42,300,18,0,30,0,30,0,0,17,10,6750,2,-3,2,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ザクIIJ型,275,24,43,42,300,18,0,30,0,30,0,0,17,1,6810,3,-3,-5,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,デザートザク,275,24,43,42,300,18,0,30,0,30,0,0,19,1,6810,3,-3,-5,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,アクア・ジム,275,26,42,60,300,18,0,0,0,40,0,0,20,1,6810,0,4,-5,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,D,MSV（モビルスーツバリエーション）,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ザクキャノン,276,30,37,68,300,18,0,0,0,30,30,0,21,1,7230,3,-3,-5,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ジム,275,24,43,60,300,18,0,10,30,30,0,0,20,5,6810,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ゴッグ,296,35,44,50,333,18,0,0,35,35,0,0,22,5,8580,2,3,-5,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,宇宙仕様ジム・コマンド,294,28,52,55,320,18,0,0,40,40,0,0,22,1,8040,1,-3,3,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,B,ポケットの中の戦争,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ジム・カスタム,345,33,70,58,397,18,50,90,140,140,0,0,28,10,12720,2,-5,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,H,スターダストメモリー,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,陸戦型ジム,282,25,48,42,312,18,0,0,35,35,0,0,18,1,7350,3,-3,-5,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,C,第08MS小隊,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ジム・スナイパーカスタム,296,26,52,65,326,18,50,0,0,0,50,0,27,5,9180,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,D,MSV（モビルスーツバリエーション）,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,グフ重装型,310,33,36,40,340,12,0,0,0,60,0,0,29,1,9210,3,-5,-5,-2,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,a,グフ系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ジム・キャノン,276,24,52,58,300,18,0,0,0,0,60,0,21,1,7290,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,D,MSV（モビルスーツバリエーション）,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ブルーディスティニー1号機,320,32,78,42,390,18,50,0,50,0,0,0,38,45,13470,3,-3,-5,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,G,戦慄のブルー,,,,,|,EXAM,おしゃべり機能,ブーストEN減,OT機,,,,,,100mmマシンガン,★連邦型マシンガン,実弾,95,30,1,25,45,3,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,高機動型ザク,280,21,56,42,312,18,0,40,40,40,0,0,28,10,7350,-4,-4,4,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,イフリート,313,28,65,56,337,18,0,0,60,60,0,0,35,30,9630,3,-3,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ザクII改,294,27,54,52,320,18,0,60,60,60,0,0,22,1,8430,2,-3,2,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,B,ポケットの中の戦争,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,サイコミュ試験用ザク,288,24,52,64,354,18,150,150,0,0,150,1,31,20,9720,0,-4,2,-5,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,パワード・ジム,304,29,63,58,347,18,0,50,55,55,0,0,24,1,9780,2,-5,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,H,スターダストメモリー,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ジム・クゥエル,345,35,74,52,397,18,0,0,60,60,0,0,28,10,13230,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,H,スターダストメモリー,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ガンタンクII,312,26,37,84,408,16,0,30,0,0,90,0,34,1,9240,3,-4,-5,-5,4,その他,8,連邦軍・ティターンズ・地球連合,I,機動戦士Zガンダム,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ガンタンク,294,24,32,80,354,15,0,0,0,0,80,0,31,1,8010,2,-4,-2,-5,1,MS系,8,連邦軍・ティターンズ・地球連合,A,機動戦士ガンダム,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,グフ飛行試験型,292,28,62,48,340,18,0,60,0,80,0,0,26,1,8460,3,-3,-5,1,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,a,グフ系,,,,,|,OT時にランダムで攻撃力UP,OT機,,,,,,,,拡散バズーカ,★ジャイアント・バズ,実弾,135,10,20,35,65,1,―,ハイブリッドアーマー,★ツインメリットコーティング,,,,,,,,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,高機動型ザク後期型,348,28,70,52,340,18,0,65,65,65,0,0,34,10,7350,-4,-4,4,-5,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,陸戦型ガンダム,320,30,65,48,354,18,75,75,75,75,0,0,23,5,10470,3,-3,-5,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,C,第08MS小隊,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ブルーディスティニー2号機,352,32,87,58,390,18,80,0,80,0,0,0,40,60,13920,2,-3,1,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,G,戦慄のブルー,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ゾゴック,307,28,52,42,333,18,0,50,95,0,0,0,30,1,9690,2,-2,-5,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ザクIIS型,294,21,43,46,300,18,0,30,0,30,0,0,20,10,6750,2,-3,2,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,サイコミュ高機動試験型ザク,294,24,70,64,354,17,80,80,0,0,80,2,23,1,10260,-5,-5,4,-5,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,,,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,量産型ガンキャノン,300,32,48,68,320,18,0,0,0,80,80,0,28,1,8670,2,-3,2,-4,1,MS系,8,連邦軍・ティターンズ・地球連合,B,ポケットの中の戦争,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ガンダイバー,275,28,55,50,320,15,80,80,80,80,0,0,27,1,7470,2,3,-5,-2,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,D,MSV（モビルスーツバリエーション）,F,量産機,,,|,海洋だと攻撃力増,OT時にランダムで攻撃力UP,OT機,,,,,,,偏光ビームライフル,★偏光ビームライフル,実弾,120,9,20,10,50,1,海で攻撃力若干増、機体コストで攻撃力上昇、シールド無効,ハイブリッドアーマー,★ツインメリットコーティング,,,,,,,,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,ハープーンガン,★ハープーンガン,海洋強化,110,15,5,30,50,1,海で攻撃力若干増,,,,,,,,,,,,,,,,,,,,
41,ドム,300,28,56,48,326,18,0,0,85,85,0,0,20,1,9270,3,-2,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,c,ドム系,F,量産機,,,|,敵近距離攻撃半減,移動力+10,OT時にランダムで攻撃力UP,OT機,,,,,,ヒートサーベル,★ヒートサーベル,ヒート,110,99,10,0,25,2,―,拡散バズーカ,★ジャイアント・バズ,実弾,135,10,20,35,65,1,―,ハイブリッドアーマー,★ツインメリットコーティング,,,,,,,,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,
42,ザクレロ,417,24,74,58,390,25,60,60,0,0,0,0,38,1,12630,-6,-6,3,-6,2,MA系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ドラッツェ,256,19,56,45,312,29,0,0,90,90,0,0,27,1,6690,-5,-5,3,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,H,スターダストメモリー,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ガンキャノン,305,39,48,68,354,18,0,0,0,95,95,0,33,50,9270,2,-1,2,-1,1,MS系,8,連邦軍・ティターンズ・地球連合,A,機動戦士ガンダム,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ズゴック,307,28,52,42,333,18,0,0,95,95,0,0,17,1,9630,2,3,-5,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ジム・スナイパーII,308,28,56,70,340,18,100,0,0,0,100,0,29,1,9870,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,B,ポケットの中の戦争,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,リック・ドム,300,28,56,48,326,18,0,0,90,90,0,0,20,1,9270,-3,-4,3,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,c,ドム系,F,量産機,,,|,敵近距離攻撃半減,対艦効果,OT時にランダムで攻撃力UP,OT機,,,,,,ヒートサーベル,★ヒートサーベル,ヒート,110,99,10,0,25,,,拡散バズーカ,★ジャイアント・バズ,実弾,135,10,20,35,65,1,―,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ハイゴッグ,305,26,65,55,347,15,0,0,0,90,90,0,29,10,9780,2,4,-5,-2,1,MS系,9,ジオン・ネオジオン軍・ザフト,B,ポケットの中の戦争,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ジム・キャノンII,345,39,52,52,408,18,100,100,120,150,90,0,25,1,12840,2,-5,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,H,スターダストメモリー,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,グフ・カスタム,304,32,56,50,326,18,0,0,125,0,0,0,28,10,9120,4,-3,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,C,第08MS小隊,a,グフ系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ガンキャノン重装型,320,48,39,68,390,18,0,0,0,0,130,0,25,1,10230,2,-3,2,-4,1,MS系,8,連邦軍・ティターンズ・地球連合,D,MSV（モビルスーツバリエーション）,F,量産機,,,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,イフリート改,313,28,70,58,337,18,100,0,90,90,0,0,36,20,11070,3,-3,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,G,戦慄のブルー,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,量産型ギャン,320,30,62,54,354,18,0,100,130,0,0,0,30,1,10440,2,-3,2,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,d,ギャン系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ガンダムEz8,352,31,65,50,354,18,90,90,90,90,0,0,34,20,11040,3,-3,-5,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,C,第08MS小隊,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ギャンキャノン,294,30,62,54,310,13,0,0,130,0,100,0,29,1,10650,4,-5,2,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,d,ギャン系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,高機動型ギャン,334,30,68,54,310,13,0,100,130,0,0,0,31,1,11580,2,-5,2,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,d,ギャン系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,量産型ゲルググ,320,30,61,54,354,19,0,90,115,135,0,0,23,50,10440,2,-3,2,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,b,ゲルググ系,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ジムII,312,30,59,59,340,18,0,0,75,75,0,0,22,60,10350,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,I,機動戦士Zガンダム,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ドム・トローペン,313,28,61,50,347,18,0,0,135,135,0,0,22,50,9720,3,-2,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,H,スターダストメモリー,c,ドム系,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ゲルググキャノン,320,30,54,60,397,19,0,90,0,0,130,0,24,1,10950,2,-2,2,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,b,ゲルググ系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ボルジャーノン,263,25,60,42,326,18,0,30,30,0,0,0,29,30,9060,2,-2,0,0,1,MS系,5,ザク系,Z,ターンAガンダム,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ガンダム・ピクシー,384,35,74,50,408,18,0,140,140,0,0,0,35,35,12060,3,-3,-5,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ガルバルディβ,358,30,76,65,390,19,0,125,125,125,0,0,27,1,11430,2,-3,2,-4,1,MS系,8,連邦軍・ティターンズ・地球連合,I,機動戦士Zガンダム,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ズゴックE,336,33,65,54,347,18,0,0,120,120,0,0,29,70,10410,3,3,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,B,ポケットの中の戦争,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,高機動型ゲルググ,336,30,74,54,397,19,0,145,125,125,0,0,36,40,11040,1,-3,3,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,b,ゲルググ系,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ドワッジ,326,30,65,54,355,18,0,0,125,130,0,0,23,20,10830,3,-2,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,K,機動戦士ガンダムZZ,c,ドム系,F,量産機,,,|,,,,,,,,,,,★ツインメリットコーティング,ー,---,---,---,---,---,---,敵の実弾・ヒート攻撃を軽減、簡易バイオセンサー付き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ブルーディスティニー3号機,352,32,78,58,390,18,80,0,80,0,0,0,40,10,13920,2,-3,1,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,G,戦慄のブルー,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ガンダム,384,35,70,58,408,18,130,130,130,130,0,0,38,10,11490,2,-1,2,-1,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,A,機動戦士ガンダム,,,,,|,大気圏適正,脱出機能,OT時にランダムで攻撃力UP,OT機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
