,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,││　││　├ドリテア,ドリテア,"3,705",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ドリテア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,││　││　└ポリペイモス,ポリペイモス,"3,721",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ポリペイモス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,││　│├トリエステ,トリエステ,"3,683",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,トリエステ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,││　│├フォート・セバーン,フォート・セバーン,"3,716",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フォート・セバーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,││　│├アオヤギ,アオヤギ,"1,016",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,││　││├アマネセル,アマネセル,"1,013",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アマネセル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,││　││├アストラーザ,アストラーザ,"3,661",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アストラーザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,││　│││└ガーベラ,ガーベラ,"3,668",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アストラーザ,ガーベラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,││　││└バルトーク,バルトーク,"3,708",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,バルトーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,││　│├超大型輸送機,超大型輸送機,"3,701",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,超大型輸送機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,││　│└グリーツ艦,グリーツ艦,"3,673",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,グリーツ艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,││　└コロンブス改,コロンブス改,"3,535",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,コロンブス改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,│├シャークマウス仕様ボール,シャークマウス仕様ボール,"7,107",ボール,ボールK型,シャークマウス仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,│├ドズル・ザビ専用ボール,ドズル・ザビ専用ボール,"2,767",ボール,ボールK型,ドズル・ザビ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,│├ロウ専用キメラ,ロウ専用キメラ,"7,175",ボール,ボールK型,ロウ専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,│├ランバ・ラル専用ボール,ランバ・ラル専用ボール,"2,768",ボール,ボールK型,ランバ・ラル専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,│├リーアム専用キメラ,リーアム専用キメラ,"7,177",ボール,ボールK型,リーアム専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,│├フィッシュアイ,フィッシュアイ,"2,051",ボール,ボールK型,フィッシュアイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,│├樹里専用キメラ,樹里専用キメラ,"7,178",ボール,ボールK型,樹里専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,│├ボール・ボーイ,ボール・ボーイ,"7,056",ボール,ボールK型,ボール・ボーイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,│└ソロモン攻略戦仕様ボール,ソロモン攻略戦仕様ボール,"8,571",ボール,ボールK型,ソロモン攻略戦仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,├ランバ・ラル専用ボール,ランバ・ラル専用ボール,"2,768",ボール,ランバ・ラル専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,├ポリポッドボール,ポリポッドボール,"6,133",ボール,ポリポッドボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,├133式ボール,133式ボール,"3,141",ボール,133式ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,├61式戦車,61式戦車,234,ボール,61式戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,│├キャリアビーグル,キャリアビーグル,"1,553",ボール,61式戦車,キャリアビーグル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,│├リニアガン・タンク,リニアガン・タンク,697,ボール,61式戦車,リニアガン・タンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,│├ボナパルト,ボナパルト,"3,748",ボール,61式戦車,ボナパルト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,│├ヴィーザフ,ヴィーザフ,"2,247",ボール,61式戦車,ヴィーザフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,│├ビックトレー,ビックトレー,239,ボール,61式戦車,ビックトレー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,││├ライノサラスA型,ライノサラスA型,380,ボール,61式戦車,ビックトレー,ライノサラスA型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,│││└ライノサラスB型,ライノサラスB型,"2,362",ボール,61式戦車,ビックトレー,ライノサラスA型,ライノサラスB型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,││└ヘヴィ・フォーク,ヘヴィ・フォーク,"3,407",ボール,61式戦車,ビックトレー,ヘヴィ・フォーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,│├サルバーS-VI型,サルバーS-VI型,"4,379",ボール,61式戦車,サルバーS-VI型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,│├MSトレーラー,MSトレーラー,521,ボール,61式戦車,MSトレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,││├ガンダム積載MSトレーラー,ガンダム積載MSトレーラー,638,ボール,61式戦車,MSトレーラー,ガンダム積載MSトレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,││├サムソントレーラー,サムソントレーラー,694,ボール,61式戦車,MSトレーラー,サムソントレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,│││└ザク・タンカー,ザク・タンカー,"3,682",ボール,61式戦車,MSトレーラー,サムソントレーラー,ザク・タンカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,││└カミオン,カミオン,"3,669",ボール,61式戦車,MSトレーラー,カミオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,│├FAG轟雷,FAG轟雷,"5,222",ボール,61式戦車,FAG轟雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,││├三二式一型・轟雷,三二式一型・轟雷,"6,879",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,│││├三八式一型・榴雷改,三八式一型・榴雷改,"8,045",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三八式一型・榴雷改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,│││├三二式伍型・漸雷,三二式伍型・漸雷,"8,043",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三二式伍型・漸雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,││││└三二式伍型丙・漸雷強襲装備型,三二式伍型丙・漸雷強襲装備型,"8,044",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三二式伍型・漸雷,三二式伍型丙・漸雷強襲装備型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,│││└輝鎚・甲,輝鎚・甲,"6,921",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,│││　├白兵戦仕様輝鎚・乙,白兵戦仕様輝鎚・乙,"8,028",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,白兵戦仕様輝鎚・乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,,│││　└狙撃仕様輝鎚・乙,狙撃仕様輝鎚・乙,"8,029",ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,狙撃仕様輝鎚・乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,,││└FAGスティレット,FAGスティレット,"5,223",ボール,61式戦車,FAG轟雷,FAGスティレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,││　├FAG迅雷,FAG迅雷,"5,224",ボール,61式戦車,FAG轟雷,FAGスティレット,FAG迅雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,,││　├スティレット,スティレット,"6,878",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,,││　│├バーゼラルド,バーゼラルド,"6,942",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,,││　││├ゼルフィカールNE,ゼルフィカールNE,"8,025",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,ゼルフィカール/NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,,││　││└カトラス,カトラス,"7,018",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,││　││　└ジィダオ,ジィダオ,"7,019",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,,││　││　　├EA仕様ジィダオ,EA仕様ジィダオ,"8,136",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,EA仕様ジィダオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,││　││　　└レイダオ,レイダオ,"7,020",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,レイダオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,││　││　　　└ジェンタオ,ジェンタオ,"8,135",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,バーゼラルド,カトラス,ジィダオ,レイダオ,ジェンタオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,││　│├ウィルバーナイン,ウィルバーナイン,"6,949",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,ウィルバーナイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,││　││└セカンドジャイヴ,セカンドジャイヴ,"8,098",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,ウィルバーナイン,セカンドジャイヴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,││　│├グライフェン,グライフェン,"6,896",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,グライフェン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,,││　│├レヴァナントアイ,レヴァナントアイ,"6,880",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,レヴァナントアイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,,││　││└レヴァナントアイ・イーギル,レヴァナントアイ・イーギル,"8,016",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,レヴァナントアイ,レヴァナントアイ・イーギル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,││　│├コボルド,コボルド,"6,908",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,││　││├マガツキ,マガツキ,"6,986",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,マガツキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,││　│││└レイファルクス,レイファルクス,"7,693",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,マガツキ,レイファルクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,,││　│││　└ヤクトファルクス,ヤクトファルクス,"8,121",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,マガツキ,レイファルクス,ヤクトファルクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
