No,機体名,★変形flag,ＨＰ,装甲,運動,索敵,ＥＮ,重量,直感,操縦,近,中,遠,名声,NT,SIZE,コスト,クレジット,地上,水中,宇宙,空中,種別
34,陸戦型ガンダム,0,320,30,65,48,354,18,75,75,75,75,0,5,－,Ｍ,23,10470,3,-3,-5,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／第08MS小隊／量産機
35,ブルーディスティニー2号機,0,352,32,87,58,390,18,80,0,80,0,0,60,－,Ｍ,40,13920,2,-3,1,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／戦慄のブルー
36,ゾゴック,0,307,28,52,42,333,18,0,50,95,0,0,1,－,Ｍ,30,9690,2,-2,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)
37,ザクIIS型,0,294,21,43,46,300,18,0,30,0,30,0,10,－,Ｍ,20,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
38,サイコミュ高機動試験型ザク,0,294,24,70,64,354,17,80,80,0,0,80,1,NT2,Ｍ,23,10260,-5,-5,4,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)
39,量産型ガンキャノン,0,300,32,48,68,320,18,0,0,0,80,80,1,－,Ｍ,28,8670,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／ポケットの中の戦争／量産機
40,ガンダイバー,0,275,28,55,50,320,15,80,80,80,80,0,1,－,Ｍ,27,7470,2,3,-5,-2,MS系／ジム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)／量産機
41,ドム,0,300,28,56,48,326,18,0,0,85,85,0,1,－,Ｍ,20,9270,3,-2,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／ドム系／量産機
42,ザクレロ,0,417,24,74,58,390,25,60,60,0,0,0,1,－,Ｍ,38,12630,-6,-6,3,-6,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
43,ドラッツェ,0,256,19,56,45,312,29,0,0,90,90,0,1,－,Ｍ,27,6690,-5,-5,3,-5,MS系／ジオン・ネオジオン軍・ザフト／スターダストメモリー／量産機
44,ガンキャノン,0,305,39,48,68,354,18,0,0,0,95,95,50,－,Ｍ,33,9270,2,-1,2,-1,MS系／連邦軍・ティターンズ・地球連合／機動戦士ガンダム
45,ズゴック,0,307,28,52,42,333,18,0,0,95,95,0,1,－,Ｍ,17,9630,2,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
46,ジム・スナイパーII,0,308,28,56,70,340,18,100,0,0,0,100,1,－,Ｍ,29,9870,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／ポケットの中の戦争／量産機
47,リック・ドム,0,300,28,56,48,326,18,0,0,90,90,0,1,－,Ｍ,20,9270,-3,-4,3,-5,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／ドム系／量産機
48,ハイゴッグ,0,305,26,65,55,347,15,0,0,0,90,90,10,－,Ｍ,29,9780,2,4,-5,-2,MS系／ジオン・ネオジオン軍・ザフト／ポケットの中の戦争／量産機
49,ジム・キャノンII,0,345,39,52,52,408,18,100,100,120,150,90,1,－,Ｍ,25,12840,2,-5,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／スターダストメモリー／量産機
50,グフ・カスタム,0,304,32,56,50,326,18,0,0,125,0,0,10,－,Ｍ,28,9120,4,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／第08MS小隊／グフ系／量産機
51,ガンキャノン重装型,0,320,48,39,68,390,18,0,0,0,0,130,1,－,Ｍ,25,10230,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)／量産機
52,イフリート改,0,313,28,70,58,337,18,100,0,90,90,0,20,－,Ｍ,36,11070,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／戦慄のブルー
53,量産型ギャン,0,320,30,62,54,354,18,0,100,130,0,0,1,－,Ｍ,30,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／ギャン系／量産機
54,ガンダムEz8,0,352,31,65,50,354,18,90,90,90,90,0,20,－,Ｍ,34,11040,3,-3,-5,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／第08MS小隊
55,ギャンキャノン,0,294,30,62,54,310,13,0,0,130,0,100,1,－,Ｍ,29,10650,4,-5,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ギャン系／量産機
56,高機動型ギャン,0,334,30,68,54,310,13,0,100,130,0,0,1,－,Ｍ,31,11580,2,-5,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ギャン系／量産機
57,量産型ゲルググ,0,320,30,61,54,354,19,0,90,115,135,0,50,－,Ｍ,23,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／ゲルググ系／量産機
58,ジムII,0,312,30,59,59,340,18,0,0,75,75,0,60,－,Ｍ,22,10350,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
59,ドム・トローペン,0,313,28,61,50,347,18,0,0,135,135,0,50,－,Ｍ,22,9720,3,-2,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／スターダストメモリー／ドム系／量産機
60,ゲルググキャノン,0,320,30,54,60,397,19,0,90,0,0,130,1,－,Ｍ,24,10950,2,-2,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ゲルググ系／量産機
61,ボルジャーノン,0,263,25,60,42,326,18,0,30,30,0,0,30,－,Ｍ,29,9060,2,-2,0,0,MS系／ザク系／ターンAガンダム
62,ガンダム・ピクシー,0,384,35,74,50,408,18,0,140,140,0,0,35,－,Ｍ,35,12060,3,-3,-5,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合
63,ガルバルディβ,0,358,30,76,65,390,19,0,125,125,125,0,1,－,Ｍ,27,11430,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
64,ズゴックE,0,336,33,65,54,347,18,0,0,120,120,0,70,－,Ｍ,29,10410,3,3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／ポケットの中の戦争／量産機
65,高機動型ゲルググ,0,336,30,74,54,397,19,0,145,125,125,0,40,－,Ｍ,36,11040,1,-3,3,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ゲルググ系／量産機
66,ドワッジ,0,326,30,65,54,355,18,0,0,125,130,0,20,－,Ｍ,23,10830,3,-2,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ／ドム系／量産機
67,ブルーディスティニー3号機,0,352,32,78,58,390,18,80,0,80,0,0,10,－,Ｍ,40,13920,2,-3,1,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／戦慄のブルー
68,ガンダム,0,384,35,70,58,408,18,130,130,130,130,0,10,－,Ｍ,38,11490,2,-1,2,-1,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／機動戦士ガンダム
69,ハイザック,0,336,32,65,55,354,18,0,0,0,100,0,50,－,Ｍ,24,11490,2,-3,2,-4,MS系／ザク系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
70,ガンダムMk-II,0,384,41,94,65,425,18,135,135,135,135,0,60,－,Ｍ,31,22120,2,-3,2,-3,MS系／ガンダム系／エウーゴ・カラバ／機動戦士Zガンダム
71,ゲルググJ,0,336,30,78,72,397,19,0,155,100,155,190,1,－,Ｍ,27,11040,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／ポケットの中の戦争／ゲルググ系／量産機
72,ゾック,0,400,39,43,64,432,23,0,0,0,165,0,1,－,Ｍ,38,14430,-5,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
73,G-3ガンダム,0,384,35,78,58,408,18,155,155,155,155,0,15,－,Ｍ,39,12660,2,-1,2,-1,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)
74,ギラ・ドーガ,0,384,43,87,80,425,20,0,175,120,170,170,50,－,Ｍ,32,17070,2,-3,2,-3,MS系／ザク系／ジオン・ネオジオン軍・ザフト／逆襲のシャア／量産機
75,ゲルググM,0,320,31,63,58,372,19,0,165,165,165,0,1,－,Ｍ,24,10860,0,-4,3,-4,MS系／ジオン・ネオジオン軍・ザフト／スターダストメモリー／ゲルググ系／量産機
76,フルアーマーガンダム,0,400,43,52,60,408,18,135,165,145,145,0,10,－,Ｍ,28,13980,2,-3,2,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)
77,ケンプファー,0,320,26,96,58,408,18,0,0,165,165,0,50,－,Ｍ,27,16860,2,-3,2,-3,MS系／ジオン・ネオジオン軍・ザフト／ポケットの中の戦争
78,アレックス,0,400,37,78,58,425,18,140,0,120,155,0,130,NT2,Ｍ,30,17070,2,-3,2,-3,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／ポケットの中の戦争
79,アッザム,0,435,39,52,64,460,22,150,150,150,150,0,1,－,Ｍ,41,17640,-5,-5,-5,3,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
80,リック・ディアス,0,390,43,87,58,447,18,170,170,170,170,0,50,－,Ｍ,36,22420,2,-3,2,-3,MS系／エウーゴ・カラバ／機動戦士Zガンダム／量産機
81,マラサイ,0,372,37,74,60,315,17,145,145,145,145,0,50,－,Ｍ,35,9610,2,-3,2,-3,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
82,ビグロ,0,441,28,87,60,432,24,175,175,160,0,0,1,－,Ｌ,42,16410,-6,-6,3,-6,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
83,リ・ガズィ,0,416,53,107,60,460,18,175,175,0,0,0,80,－,Ｍ,45,43660,2,-3,2,-3,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／逆襲のシャア
84,ガンダムGP01(ゼフィランサス),0,410,41,83,60,425,18,150,175,175,175,0,20,－,Ｍ,31,21220,3,-4,-4,-3,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／スターダストメモリー
85,ガンダムGP03S(ステイメン),0,410,41,91,60,425,18,170,180,0,180,180,20,－,Ｍ,32,22300,0,-4,3,-5,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／スターダストメモリー
86,ガンダムGP02(サイサリス),0,410,50,70,60,532,22,180,180,180,0,180,50,－,Ｍ,34,25960,2,-5,2,-3,MS系／ガンダム系／ジオン・ネオジオン軍・ザフト／スターダストメモリー
87,ガンダムGP01Fb(フルバーニアン),0,410,41,83,60,425,18,150,175,175,175,0,40,－,Ｍ,31,21220,-4,-5,3,-5,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／スターダストメモリー
88,グラブロ,0,492,43,60,60,504,26,100,150,90,100,0,70,－,Ｌ,45,26980,-5,3,-5,-5,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
89,ガンダムGP04(ガーベラ),0,400,35,86,65,445,19,180,180,180,180,0,50,－,Ｍ,32,15660,2,-4,2,-3,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／スターダストメモリー
90,ガーベラ・テトラ,0,410,41,96,58,425,18,175,190,150,190,0,1,－,Ｍ,32,21220,2,-4,3,-4,MS系／ジオン・ネオジオン軍・ザフト／スターダストメモリー
91,ガブスレイ,0,410,52,105,67,460,18,160,185,185,185,185,100,－,Ｍ,45,46480,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム
92,ギャプラン,0,422,43,113,70,454,19,150,185,185,185,0,100,－,Ｍ,46,46240,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
93,ヴァル・ヴァロ,0,460,35,100,60,482,22,160,185,0,190,0,100,－,Ｌ,45,19920,-5,-5,3,-5,MA系／ジオン・ネオジオン軍・ザフト／スターダストメモリー
94,ブラウ・ブロ,0,452,28,59,75,482,30,175,0,0,0,170,1,NT2,Ｌ,43,18750,-5,-5,3,-5,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
95,ジオング,0,480,43,78,74,496,20,180,0,0,185,185,30,NT3,Ｍ,37,35260,-5,-5,4,-5,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
96,ザク頭仕様Zガンダム,0,457,45,95,40,624,19,260,270,200,230,250,30,NT1,Ｍ,49,22060,2,-5,3,-1,MS系／ザク系／ガンダム系／エウーゴ・カラバ／機動戦士ガンダムZZ
97,ビグ・ザム,0,640,52,52,70,510,50,130,200,0,120,205,40,－,Ｌ,51,56020,2,-5,2,-5,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
98,エルメス,0,576,33,75,99,530,30,200,150,0,0,185,120,NT3,Ｌ,52,47220,-5,-5,3,-5,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
99,アッシマー,0,400,48,98,65,447,19,150,150,190,190,0,100,－,Ｍ,44,23320,2,-3,-5,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
100,ハンブラビ,0,410,48,109,65,454,19,150,150,150,140,0,100,－,Ｍ,45,43720,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム
101,パーフェクトジオング,0,617,43,82,74,578,40,185,0,0,185,185,150,NT3,Ｌ,44,47380,1,-3,3,-5,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)
102,ガンダムGP03(デンドロビウム),0,704,48,96,95,532,30,200,200,0,200,200,50,－,Ｌ,59,23680,-6,-6,5,-6,MA系／ガンダム系／連邦軍・ティターンズ・地球連合／スターダストメモリー
103,ノイエ・ジール,0,704,56,87,60,532,76,160,200,185,185,190,80,－,Ｌ,56,21760,-6,-6,4,-6,MA系／ジオン・ネオジオン軍・ザフト／スターダストメモリー
104,ガンダムMk-II-NT,0,470,38,76,70,400,16,200,200,200,200,200,40,NT1,Ｍ,38,30520,1,-4,1,-2,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／Z-MSV
105,ガーベラ・テトラ改,0,450,45,98,68,425,18,175,190,150,190,0,150,－,Ｍ,34,25360,2,-4,3,-4,MS系／ジオン・ネオジオン軍・ザフト／スターダストメモリー
106,∀ガンダム,0,547,65,118,68,763,20,200,200,150,160,150,270,－,Ｍ,62,179210,0,0,3,0,MS系／ガンダム系／ターンAガンダム
107,メッサーラ,0,442,53,122,65,460,23,190,180,170,180,0,130,NT2,Ｍ,48,53620,-5,-5,3,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム
108,バウンド・ドック,0,448,59,113,62,478,27,180,190,170,170,0,100,強1,Ｍ,38,57160,2,-3,3,-4,MS系／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム
109,ティターンズ専用ガンダム,0,365,35,70,63,325,21,150,150,150,150,0,30,強1,Ｍ,33,11610,2,-1,2,-1,MS系／連邦軍・ティターンズ・地球連合／ガンダム系／専用機
110,連邦軍仕様ハイザック,0,360,33,70,65,210,18,0,0,0,100,0,90,－,Ｍ,31,8410,2,-3,2,-3,MS系／連邦軍・ティターンズ・地球連合／ザク系／量産機／機動戦士Zガンダム
111,ティターンズ専用ガンダムMk-II,0,384,41,94,65,425,18,135,135,135,135,0,50,－,Ｍ,41,22120,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／ガンダム系／専用機／機動戦士Zガンダム
112,黒い三連星専用ザクI,0,288,20,43,52,300,18,10,10,10,0,0,10,－,Ｍ,28,3930,1,-4,1,-3,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
113,ランバ・ラル専用ザクI,0,288,20,43,52,300,18,10,35,40,0,0,10,－,Ｍ,28,3930,1,-4,1,-3,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
114,マ・クベ専用グフ,0,290,30,52,42,312,18,10,30,30,0,0,20,－,Ｍ,29,8610,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／グフ系／専用機
115,マツナガ専用ザクII,0,275,21,43,42,300,18,0,30,0,30,0,20,－,Ｍ,27,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
116,ライデン専用ザクII,0,294,21,43,46,300,18,0,30,0,30,0,25,－,Ｍ,28,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
117,シャア専用ザクII,0,320,26,61,48,300,18,0,0,0,30,0,30,－,Ｍ,30,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
118,高機動型ザク改良型,0,348,28,70,52,340,18,0,65,65,65,0,1,－,Ｍ,34,7350,-4,-4,4,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／量産機
119,黒い三連星専用高機動型ザク,0,336,26,61,54,326,18,0,60,60,60,0,40,－,Ｍ,31,7350,-4,-5,4,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
120,マツナガ専用高機動型ザク,0,316,26,61,42,326,18,0,40,40,40,0,40,－,Ｍ,21,7350,-4,-4,4,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
121,ギャン,0,320,30,62,54,354,18,0,100,130,0,0,20,－,Ｍ,33,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ギャン系／量産機
122,ライデン専用高機動型ザク後期型,0,348,28,70,54,340,18,0,80,80,80,0,50,－,Ｍ,24,7350,-4,-5,4,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
123,ニムバス専用ブルーディスティニー2号機,0,384,35,91,48,390,18,80,0,80,0,0,30,－,Ｍ,41,14490,5,-5,0,-2,MS系／ガンダム系／ジオン・ネオジオン軍・ザフト／戦慄のブルー／専用機
124,ガルマ専用ザクII,0,320,26,48,65,300,18,0,0,0,100,50,20,－,Ｍ,20,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
125,ドズル専用ザクII,0,320,21,43,65,300,18,0,100,0,100,0,30,－,Ｍ,30,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／専用機
126,シャア専用ザク,0,320,26,61,48,300,18,0,0,0,30,0,50,－,Ｍ,30,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／専用機
127,ランバ・ラル専用ドム,0,315,30,59,58,326,18,0,0,100,100,0,40,－,Ｍ,22,10320,3,-2,-5,-3,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ドム系／専用機
128,先行量産型ゲルググ,0,320,30,61,59,354,19,0,90,115,135,0,30,－,Ｍ,33,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／ゲルググ系／量産機
129,シャア専用ズゴック,0,339,30,61,42,333,18,0,0,95,95,0,50,－,Ｍ,29,9630,2,3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／専用機
130,シャア専用リック・ドム,0,305,29,58,48,326,18,0,0,90,90,0,40,－,Ｍ,21,9810,-3,-4,3,-5,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ドム系／専用機
131,ドワッジ改,0,358,32,72,64,355,18,0,0,145,145,0,1,－,Ｍ,26,11640,3,-2,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ／ドム系／量産機
132,ランバ・ラル専用ギャン,0,320,30,62,54,354,18,0,100,130,0,0,20,－,Ｍ,33,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ギャン系／専用機
133,ガトー専用ギャン,0,320,30,62,54,354,18,0,100,130,0,0,20,－,Ｍ,30,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ギャン系／専用機
134,シャア専用ギャン,0,320,30,62,54,354,18,0,100,130,0,0,40,－,Ｍ,33,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／ギャン系／専用機
